Key,Russian,English
Menu_Interaction_Lock_Mechanical,Перестать взламывать замок,Stop picking the lock
Money_Dollars,Фиатных долларов,Fiat dollars
Money_Rubles,Рублей,Rubles
NPC_Aggressive_Policeman,Милиционер,Policeman
NPC_Neutral_Bandit,Бандит,Bandit
NPC_Peaceful_Civilian,Гражданин,Civilian
Scene_0_Test,Тестовая сцена,Test scene
Scene_1_Church,Мемориальная Церковь Александра II,Alexandr II Memorial Church
Scene_1_InnerYard,Внутренний двор,Inner yard
Scene_1_RevenueHouse,Доходный дом г-на Ростовщикова,Mr Rostovshikov's revenue house
Scene_1_Street,Станция «Ресентиментарная»,Resentymentarnaya station
UI_DialogueAnswer_Sweeper_Branch1_No,Сам убирай свои листья!,You know what? Do it youtself
UI_DialogueAnswer_Sweeper_Branch1_Yes,Хорошо сейчас все уберу...,Ok I'll help you with that...
UI_DialogueAnswer_Sweeper_Branch2_No,Ну уж нет! к черту тебя и твои листься,No way! Go to hell with you leaves!
UI_DialogueAnswer_Sweeper_Branch2_Yes,Ладно так уж и ыть помогу тебе,On the other hand ok I'll help you
UI_LoadingScreen_LoadingIsReady,Нажмите любую клавишу,Press any key
UI_Menu_PauseConfirmActionMenu_ButtonCancelAction,Отменить,Cancel
UI_Menu_PauseConfirmActionMenu_ButtonConfirmAction,Подтвердить,Confirm
UI_Menu_PauseConfirmActionMenu_TextConfirmCreateNewGameFile,Сохранить новую игру,Save new game
UI_Menu_PauseConfirmActionMenu_TextConfirmDeleteGameFile,Удалить игру в слоте,Delete game in slot
UI_Menu_PauseConfirmActionMenu_TextConfirmExitToMainMenu,Выйти в главное меню? (Данные не сохранятся),Exit to main menu? (Unsaved progress will be lost)
UI_Menu_PauseConfirmActionMenu_TextConfirmLoadGameFile,Зарузить игру в слоте,Load game in slot
UI_Menu_PauseConfirmActionMenu_TextConfirmRewriteGameFile,Перезаписать игру в слоте,Rewrite game in slot
UI_Menu_PauseConfirmActionMenu_TextResetSettings,Сбросить,Reset
UI_Menu_PauseConfirmActionMenu_TextSaveSettings,Сохранить,Save
UI_Menu_PauseConfirmActionMenu_TextSettingsAudio,Аудионастройки,Audio settings
UI_Menu_PauseConfirmActionMenu_TextSettingsControls,Настройки управления,Controls settings
UI_Menu_PauseConfirmActionMenu_TextSettingsGeneral,Общие настройки,General settings
UI_Menu_PauseConfirmActionMenu_TextSettingsGraphics,Настройки графики,Graphics settings
UI_Menu_PauseMenu_ButtonAppearance,Поменять внешность (недоступно в демо версии),Change appearance (unavailable in demo version)
UI_Menu_PauseMenu_ButtonExitToMainMenu,Выйти в главное меню,Exit to Main Menu
UI_Menu_PauseMenu_ButtonLoad,Загрузить игру,Load game
UI_Menu_PauseMenu_ButtonResume,Продолжить,Resume
UI_Menu_PauseMenu_ButtonSave,Сохранить игру,Save game
UI_Menu_PauseMenu_ButtonSave_UNAVAILABLE,Сохранить игру             (сейчас нельзя сохраняться),Save game                          (can't save right now)
UI_Menu_PauseMenu_ButtonSettings,Настройки игры,Game settings
UI_Menu_PauseMenu_ButtonTutorial,Туториалы,Tutorials
UI_Menu_PauseMenu_TextCurrentMissionGoal,Текущая цель миссии:,Current mission goal:
UI_Menu_PauseMenu_TextCurrentPlayerMoney,Денег у игрока:,Player's money:
UI_Menu_PauseSubMenuLoad_ButtonClosePauseSubMenuLoad,Закрыть меню загрузки,Close load menu
UI_Menu_PauseSubMenuLoad_TextPauseSubMenuLoad,Меню загрузки,Load menu
UI_Menu_PauseSubMenuSave_ButtonClosePauseSubMenuSave,Закрыть меню сохранения,Close save menu
UI_Menu_PauseSubMenuSave_ButtonCreateNewGameFile,Сохранить новую игру,Save game
UI_Menu_PauseSubMenuSave_ButtonDeleteGameFile,Удалить игру,Delete game
UI_Menu_PauseSubMenuSave_TextPauseSubMenuSave,Меню сохранения,Save menu
UI_Menu_MainMenu_TextNewGame,Новая игра,New game
UI_Menu_MainMenu_TextSettings,Настройки,Settings
UI_Menu_MainMenu_TextTestScene,Тестовый уровень,Test level
UI_Menu_MainMenu_TextReadNews,Читать новости об игре,Read news about game
UI_Menu_MainMenu_TextExitGame,Выйти из игры,Exit the game
UI_Menu_MainMenu_TextLoadGame1,Загрузить,Load
UI_Menu_MainMenu_TextLoadGame2,игру,game
UI_Menu_PauseSubMenuSettings_ButtonClosePauseSubMenuSettings,Закрыть меню настроек,Close settings menu
UI_Menu_PauseSubMenuSettings_ButtonResetSettings,Сбросить настройки,Reset settings
UI_Menu_PauseSubMenuSettings_ButtonSaveSettings,Сохранить настройки,Save settings
UI_Menu_PauseSubMenuSettings_ButtonSubSettingsSectionAudio,Аудионастройки,Audio settings
UI_Menu_PauseSubMenuSettings_ButtonSubSettingsSectionControls,Настройки управления,Controls settings
UI_Menu_PauseSubMenuSettings_ButtonSubSettingsSectionGeneral,Общие настройки,General settings
UI_Menu_PauseSubMenuSettings_ButtonSubSettingsSectionGraphics,Настройки графики,Graphics settings
UI_Menu_PauseSubMenuSettingsSectionAudio_TextChangeLanguage,Сменить язык,Change language
UI_Menu_PauseSubMenuSettingsSectionAudio_TextSliderVolumeEffects,Громкость эффектов,Effects volume
UI_Menu_PauseSubMenuSettingsSectionAudio_TextSliderVolumeEnvironment,Громкость окружения,Environment volume
UI_Menu_PauseSubMenuSettingsSectionAudio_TextSliderVolumeGeneral,Общая громкость,General volume
UI_Menu_PauseSubMenuSettingsSectionAudio_TextSliderVolumeMusicAmbience,Громкость фоновой музыки,Ambience music volume
UI_Menu_PauseSubMenuSettingsSectionAudio_TextSliderVolumeMusicIngame,Громкость внутриигровой музки,Ingame music volume
UI_Menu_PauseSubMenuSettingsSectionAudio_TextSliderVolumeVoices,Громкость голосов,Voices volume
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsChangeCameraShoulder,Поменять плечо камеры,Change camera shoulder
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsChangeCameraView,Поменять вид камеры,Change camera view
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsCrouch,Присесть,Crouch
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsInteract,Взимодейстовать,Interact
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsJump,Прыгать,Jump
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsLegKick,Пинок ногой,Leg kick
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsMoveBackward,Идти назад,Move backward
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsMoveForward,Идти вперед,Move forward
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsMoveLeft,Идти влево,Move left
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsMoveRight,Идти вправо,Move right
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsRun,Бежать,Run
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsWeaponAttackLeftHand,Атака оружием в левой руке,Left hand weapon attack
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsWeaponAttackRightHand,Атака оружием в правой руке,Right hand weapon attack
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsWeaponReload,Перезарядить оружие,Reload weapon
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsWeaponWheelLeftHand,Колесо Оружия для леовй руки,Left hand Weapon Wheel
UI_Menu_PauseSubMenuSettingsSectionControls_TextControlsWeaponWheelRightHand,Колесо Оружия для правой руки,Right hand Weapon Wheel
UI_Menu_PauseSubMenuSettingsSectionControls_TextSliderMouseSensitivityX,Горизонтальная чувствительность мыши,Mouse sensitivity X
UI_Menu_PauseSubMenuSettingsSectionControls_TextSliderMouseSensitivityY,Вертикальная чувствительность мыши,Mouse sensitivity Y
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownWindowTypeFullscreen,Полноэкранный,Fullscreen
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownWindowTypeBorderlessWindowed,Оконный без рамки,Borderless windowed
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownWindowTypeWindowed,Оконный,Windowed
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownHUDTypeFull,Полностью,Full
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownHUDTypeDialoguesOnly,Только диалоги,Dialogues only
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownHUDTypeTurnedOff,Выключенный,Turn off
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownLimitFPS144,144 кадра/сек,144 frames/sec
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownLimitFPS30,30 кадров/сек,30 frames/sec
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownLimitFPS60,60 кадров/сек,60 frames/sec
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownLimitFPS90,90 кадров/сек,90 frames/sec
UI_Menu_PauseSubMenuSettingsSectionGeneral_DropdownLimitFPSunlimited,Без ограничений,Unlimited
UI_Menu_PauseSubMenuSettingsSectionGeneral_TextDropdownFPSlimit,Ограничение кадров в секунду,Frames per second limit
UI_Menu_PauseSubMenuSettingsSectionGeneral_TextDropdownHUDType,Отображение игрового интерфейса (HUD),Heads up display (HUD) type
UI_Menu_PauseSubMenuSettingsSectionGeneral_TextDropdownScreenResolution,Разрешение экрана,Screen resolution
UI_Menu_PauseSubMenuSettingsSectionGeneral_TextDropdownWindowType,Тип окна,Window type
UI_Menu_PauseSubMenuSettingsSectionGeneral_TextSliderCameraFOV,Угол обзора камеры,Camera field of view
UI_Menu_PauseSubMenuSettingsSectionGeneral_TextSliderScreenBrightness,Яркость экрана,Screen brightness
UI_Menu_PauseSubMenuSettingsSectionGraphics_NO_GRAPHICS_SETTINGS,В демо версии игры нет настроек графики,Game demo version does not feature graphics settings
UI_Menu_PauseSubMenuTutorial_ButtonClosePauseSubMenuTutorial,Закрыть меню туториала,Close tutorial menu
Weapon_Ranged_HarmonicaRevolver,Револьвер Гармоника,Harmonica Revolver
Weapon_Ranged_SawedOffShotgun,Дробовик обрез,Sawed off shotgun
Weapon_Ranged_BergmannBayard,Автопистоль Бергманн-Байард,Bergmann-Bayard autopistole
Weapon_Eugenic_GenieBreath,Евгеник Дыхание Джина,Eugenic Genie Breath
Weapon_Eugenic_TeslaShock,Евгеник Искра Теслы,Eugenic Tesla Shock
Weapon_Melee_PoliceBaton,Милицейская дубинка,Police baton
Weapon_Melee_FirefighterSaw,Пожарная циркулярная пила,Firefighter saw
Weapon_Special_PlungerCrossbow,Абордажный арбалет,Plunging crowwbow
UI_Menu_WeaponWheelMenu_HandRight,Правая рука,Right hand
UI_Menu_WeaponWheelMenu_HandLeft,Левая рука,Left hand
